surname	frequency	cumulative_frequency	rank
Diffee	0	84.894	44038
Difelice	0	84.894	44039
Difabio	0	84.894	44040
Dietzman	0	84.894	44041
Dieteman	0	84.895	44042
Diepenbrock	0	84.895	44043
Dieckmann	0	84.895	44044
Dicey	0	84.895	44045
Dicampli	0	84.895	44046
Dibari	0	84.896	44047
Diazdeleon	0	84.896	44048
Diallo	0	84.896	44049
Dewitz	0	84.896	44050
Dewiel	0	84.896	44051
Devoll	0	84.897	44052
Devol	0	84.897	44053
Devincent	0	84.897	44054
Devier	0	84.897	44055
Devendorf	0	84.897	44056
Devalk	0	84.898	44057
Detten	0	84.898	44058
Detraglia	0	84.898	44059
Dethomas	0	84.898	44060
Deter	0	84.898	44061
Detemple	0	84.898	44062
Desler	0	84.899	44063
Desharnais	0	84.899	44064
Desanty	0	84.899	44065
Derocco	0	84.899	44066
Dermer	0	84.899	44067
Derks	0	84.9	44068
Derito	0	84.9	44069
Derick	0	84.9	44070
Derhammer	0	84.9	44071
Deraney	0	84.9	44072
Dequattro	0	84.901	44073
Depass	0	84.901	44074
Depadua	0	84.901	44075
Deon	0	84.901	44076
Denzel	0	84.901	44077
Denyes	0	84.902	44078
Denyer	0	84.902	44079
Dentino	0	84.902	44080
Denlinger	0	84.902	44081
Deneal	0	84.902	44082
Demory	0	84.902	44083
Demopoulos	0	84.903	44084
Demontigny	0	84.903	44085
Demonte	0	84.903	44086
Demeza	0	84.903	44087
Delsol	0	84.903	44088
Delrosso	0	84.904	44089
Delpit	0	84.904	44090
Delpapa	0	84.904	44091
Delouise	0	84.904	44092
Delone	0	84.904	44093
Delo	0	84.905	44094
Delmundo	0	84.905	44095
Delmore	0	84.905	44096
Delmar	0	84.905	44097
Dellapaolera	0	84.905	44098
Delfin	0	84.906	44099
Delfierro	0	84.906	44100
Deleonardis	0	84.906	44101
Delenick	0	84.906	44102
Delcarlo	0	84.906	44103
Delcampo	0	84.906	44104
Delcamp	0	84.907	44105
Delawyer	0	84.907	44106
Delaware	0	84.907	44107
Delaroca	0	84.907	44108
Delaluz	0	84.907	44109
Delahunt	0	84.908	44110
Delaguardia	0	84.908	44111
Dekeyser	0	84.908	44112
Dekay	0	84.908	44113
Dejaeger	0	84.908	44114
Dejackome	0	84.909	44115
Dehay	0	84.909	44116
Dehass	0	84.909	44117
Degraffenried	0	84.909	44118
Degenhart	0	84.909	44119
Degan	0	84.91	44120
Deever	0	84.91	44121
Deedrick	0	84.91	44122
Deckelbaum	0	84.91	44123
Dechico	0	84.91	44124
Decent	0	84.91	44125
Dececco	0	84.911	44126
Decasas	0	84.911	44127
Debrock	0	84.911	44128
Debona	0	84.911	44129
Debeaumont	0	84.911	44130
Debarros	0	84.912	44131
Debaca	0	84.912	44132
Dearmore	0	84.912	44133
Deangelus	0	84.912	44134
Dealmeida	0	84.912	44135
Dawood	0	84.913	44136
Davney	0	84.913	44137
Daudt	0	84.913	44138
Datri	0	84.913	44139
Dasgupta	0	84.913	44140
Darring	0	84.914	44141
Darracott	0	84.914	44142
Darius	0	84.914	44143
Darcus	0	84.914	44144
Daoud	0	84.914	44145
Dansbury	0	84.914	44146
Dannels	0	84.915	44147
Danish	0	84.915	44148
Danielski	0	84.915	44149
Danehy	0	84.915	44150
Dancey	0	84.915	44151
Damour	0	84.916	44152
Dambra	0	84.916	44153
Daman	0	84.916	44154
Dalcour	0	84.916	44155
Daisey	0	84.916	44156
Dahlheimer	0	84.917	44157
Dagon	0	84.917	44158
Dadisman	0	84.917	44159
Dacunto	0	84.917	44160
Dacamara	0	84.917	44161
Dabe	0	84.918	44162
Cyrulik	0	84.918	44163
Cyphert	0	84.918	44164
Cwik	0	84.918	44165
Cussen	0	84.918	44166
Curles	0	84.919	44167
Curit	0	84.919	44168
Curby	0	84.919	44169
Curbo	0	84.919	44170
Cunas	0	84.919	44171
Cunard	0	84.919	44172
Cunanan	0	84.92	44173
Cumpton	0	84.92	44174
Culcasi	0	84.92	44175
Cui	0	84.92	44176
Cucinotta	0	84.92	44177
Cucco	0	84.921	44178
Csubak	0	84.921	44179
Cruthird	0	84.921	44180
Crumwell	0	84.921	44181
Crummitt	0	84.921	44182
Crumedy	0	84.922	44183
Crouthamel	0	84.922	44184
Cronce	0	84.922	44185
Cromack	0	84.922	44186
Cristina	0	84.922	44187
Crisafi	0	84.923	44188
Crimin	0	84.923	44189
Cresto	0	84.923	44190
Crescenzo	0	84.923	44191
Cremonese	0	84.923	44192
Creedon	0	84.923	44193
Credit	0	84.924	44194
Crankshaw	0	84.924	44195
Cozzens	0	84.924	44196
Cove	0	84.924	44197
Coval	0	84.924	44198
Courtwright	0	84.925	44199
Courcelle	0	84.925	44200
Coupland	0	84.925	44201
Counihan	0	84.925	44202
Coullard	0	84.925	44203
Cotrell	0	84.926	44204
Cosgrave	0	84.926	44205
Cornfield	0	84.926	44206
Cornelio	0	84.926	44207
Corish	0	84.926	44208
Cordoua	0	84.927	44209
Corbit	0	84.927	44210
Coppersmith	0	84.927	44211
Coonfield	0	84.927	44212
Cools	0	84.927	44213
Conville	0	84.927	44214
Contrell	0	84.928	44215
Contento	0	84.928	44216
Conser	0	84.928	44217
Conrod	0	84.928	44218
Connole	0	84.928	44219
Congrove	0	84.929	44220
Conery	0	84.929	44221
Condray	0	84.929	44222
Colver	0	84.929	44223
Coltman	0	84.929	44224
Colflesh	0	84.93	44225
Colcord	0	84.93	44226
Colavito	0	84.93	44227
Colar	0	84.93	44228
Coile	0	84.93	44229
Coggan	0	84.931	44230
Coenen	0	84.931	44231
Codling	0	84.931	44232
Coda	0	84.931	44233
Cockroft	0	84.931	44234
Cockrel	0	84.931	44235
Cockerill	0	84.932	44236
Cocca	0	84.932	44237
Coberley	0	84.932	44238
Coaster	0	84.932	44239
Clouden	0	84.932	44240
Clos	0	84.933	44241
Clive	0	84.933	44242
Clish	0	84.933	44243
Clint	0	84.933	44244
Clinkscale	0	84.933	44245
Clester	0	84.934	44246
Clammer	0	84.934	44247
City	0	84.934	44248
Cittadino	0	84.934	44249
Citrano	0	84.934	44250
Ciresi	0	84.935	44251
Cillis	0	84.935	44252
Ciccarelli	0	84.935	44253
Ciborowski	0	84.935	44254
Ciarlo	0	84.935	44255
Ciardullo	0	84.935	44256
Chritton	0	84.936	44257
Chopp	0	84.936	44258
Choo	0	84.936	44259
Chirco	0	84.936	44260
Chilcoat	0	84.936	44261
Chevarie	0	84.937	44262
Cheslak	0	84.937	44263
Chernak	0	84.937	44264
Chay	0	84.937	44265
Chatterjee	0	84.937	44266
Chatten	0	84.938	44267
Chatagnier	0	84.938	44268
Chastin	0	84.938	44269
Chappuis	0	84.938	44270
Channing	0	84.938	44271
Channey	0	84.939	44272
Champlain	0	84.939	44273
Chalupsky	0	84.939	44274
Chalfin	0	84.939	44275
Chaffer	0	84.939	44276
Chadek	0	84.939	44277
Chadderton	0	84.94	44278
Cestone	0	84.94	44279
Cestero	0	84.94	44280
Cestari	0	84.94	44281
Cerros	0	84.94	44282
Cermeno	0	84.941	44283
Centola	0	84.941	44284
Cedrone	0	84.941	44285
Cayouette	0	84.941	44286
Cavan	0	84.941	44287
Cavaliero	0	84.942	44288
Casuse	0	84.942	44289
Castricone	0	84.942	44290
Castoreno	0	84.942	44291
Casten	0	84.942	44292
Castanada	0	84.943	44293
Castagnola	0	84.943	44294
Casstevens	0	84.943	44295
Cassio	0	84.943	44296
Cassi	0	84.943	44297
Cassanova	0	84.943	44298
Caspari	0	84.944	44299
Casher	0	84.944	44300
Cashatt	0	84.944	44301
Casco	0	84.944	44302
Casassa	0	84.944	44303
Casad	0	84.945	44304
Carville	0	84.945	44305
Carvel	0	84.945	44306
Cartland	0	84.945	44307
Cartegena	0	84.945	44308
Carsey	0	84.946	44309
Carsen	0	84.946	44310
Carrino	0	84.946	44311
Carrilo	0	84.946	44312
Carpinteyro	0	84.946	44313
Carmley	0	84.947	44314
Carlston	0	84.947	44315
Carlsson	0	84.947	44316
Carie	0	84.947	44317
Cariddi	0	84.947	44318
Caricofe	0	84.948	44319
Carel	0	84.948	44320
Cardy	0	84.948	44321
Carducci	0	84.948	44322
Carby	0	84.948	44323
Carangelo	0	84.948	44324
Capriotti	0	84.949	44325
Capria	0	84.949	44326
Caprario	0	84.949	44327
Capelo	0	84.949	44328
Canul	0	84.949	44329
Cantua	0	84.95	44330
Cantlow	0	84.95	44331
Canny	0	84.95	44332
Cangialosi	0	84.95	44333
Canepa	0	84.95	44334
Candland	0	84.951	44335
Campolo	0	84.951	44336
Campi	0	84.951	44337
Camors	0	84.951	44338
Camino	0	84.951	44339
Camfield	0	84.952	44340
Camelo	0	84.952	44341
Camarero	0	84.952	44342
Camaeho	0	84.952	44343
Calvano	0	84.952	44344
Callum	0	84.952	44345
Calliste	0	84.953	44346
Caldarella	0	84.953	44347
Calcutt	0	84.953	44348
Calcano	0	84.953	44349
Caissie	0	84.953	44350
Cager	0	84.954	44351
Caccamo	0	84.954	44352
Cabotage	0	84.954	44353
Cabble	0	84.954	44354
Byman	0	84.954	44355
Buzby	0	84.955	44356
Butkowski	0	84.955	44357
Bussler	0	84.955	44358
Busico	0	84.955	44359
Bushy	0	84.955	44360
Bushovisky	0	84.956	44361
Busbin	0	84.956	44362
Busard	0	84.956	44363
Busalacchi	0	84.956	44364
Burtman	0	84.956	44365
Burrous	0	84.956	44366
Burridge	0	84.957	44367
Burrer	0	84.957	44368
Burno	0	84.957	44369
Burin	0	84.957	44370
Burgette	0	84.957	44371
Burdock	0	84.958	44372
Burdier	0	84.958	44373
Burckhard	0	84.958	44374
Bunten	0	84.958	44375
Bungay	0	84.958	44376
Bundage	0	84.959	44377
Bumby	0	84.959	44378
Bultema	0	84.959	44379
Bulinski	0	84.959	44380
Bulan	0	84.959	44381
Bukhari	0	84.96	44382
Buganski	0	84.96	44383
Buerkle	0	84.96	44384
Buen	0	84.96	44385
Buehl	0	84.96	44386
Bue	0	84.96	44387
Budzynski	0	84.961	44388
Buckham	0	84.961	44389
Bub	0	84.961	44390
Bryk	0	84.961	44391
Brydon	0	84.961	44392
Bruyere	0	84.962	44393
Brunsvold	0	84.962	44394
Brunnett	0	84.962	44395
Brunker	0	84.962	44396
Brunfield	0	84.962	44397
Brumble	0	84.963	44398
Brue	0	84.963	44399
Brozina	0	84.963	44400
Brossman	0	84.963	44401
Brosey	0	84.963	44402
Brookens	0	84.964	44403
Broersma	0	84.964	44404
Brodrick	0	84.964	44405
Brockmeier	0	84.964	44406
Brockhouse	0	84.964	44407
Brisky	0	84.964	44408
Brinkly	0	84.965	44409
Brine	0	84.965	44410
Brincefield	0	84.965	44411
Brighenti	0	84.965	44412
Brigante	0	84.965	44413
Brieno	0	84.966	44414
Briede	0	84.966	44415
Bridenbaugh	0	84.966	44416
Bridegroom	0	84.966	44417
Brickett	0	84.966	44418
Bria	0	84.967	44419
Breske	0	84.967	44420
Brener	0	84.967	44421
Brenchley	0	84.967	44422
Breitkreutz	0	84.967	44423
Breitbart	0	84.968	44424
Breister	0	84.968	44425
Breining	0	84.968	44426
Breighner	0	84.968	44427
Breidel	0	84.968	44428
Brehon	0	84.968	44429
Breheny	0	84.969	44430
Breard	0	84.969	44431
Brean	0	84.969	44432
Breakell	0	84.969	44433
Breach	0	84.969	44434
Brazill	0	84.97	44435
Braymiller	0	84.97	44436
Braum	0	84.97	44437
Brau	0	84.97	44438
Brashaw	0	84.97	44439
Bransom	0	84.971	44440
Brandolino	0	84.971	44441
Brancato	0	84.971	44442
Branagan	0	84.971	44443
Braff	0	84.971	44444
Brading	0	84.972	44445
Bracker	0	84.972	44446
Brackenbury	0	84.972	44447
Bracher	0	84.972	44448
Braasch	0	84.972	44449
Boylen	0	84.972	44450
Boyda	0	84.973	44451
Boyanton	0	84.973	44452
Bowlus	0	84.973	44453
Bowditch	0	84.973	44454
Boutot	0	84.973	44455
Bouthillette	0	84.974	44456
Boursiquot	0	84.974	44457
Bourjolly	0	84.974	44458
Bouret	0	84.974	44459
Bouquet	0	84.974	44460
Boulerice	0	84.975	44461
Bouer	0	84.975	44462
Bouchillon	0	84.975	44463
Bouchie	0	84.975	44464
Bottin	0	84.975	44465
Boteilho	0	84.976	44466
Bosko	0	84.976	44467
Bosack	0	84.976	44468
Borys	0	84.976	44469
Bors	0	84.976	44470
Borla	0	84.976	44471
Borjon	0	84.977	44472
Borghi	0	84.977	44473
Borah	0	84.977	44474
Booty	0	84.977	44475
Booten	0	84.977	44476
Boore	0	84.978	44477
Bonuz	0	84.978	44478
Bonne	0	84.978	44479
Bongers	0	84.978	44480
Boneta	0	84.978	44481
Bonawitz	0	84.979	44482
Bonanni	0	84.979	44483
Bomer	0	84.979	44484
Bollen	0	84.979	44485
Bollard	0	84.979	44486
Bolla	0	84.98	44487
Bolio	0	84.98	44488
Boisseau	0	84.98	44489
Boies	0	84.98	44490
Boiani	0	84.98	44491
Bohorquez	0	84.981	44492
Boghossian	0	84.981	44493
Boespflug	0	84.981	44494
Boeser	0	84.981	44495
Boehl	0	84.981	44496
Boegel	0	84.981	44497
Bodrick	0	84.982	44498
Bodkins	0	84.982	44499
Bodenstein	0	84.982	44500
Bodell	0	84.982	44501
Bockover	0	84.982	44502
Bocci	0	84.983	44503
Bobbs	0	84.983	44504
Boals	0	84.983	44505
Boahn	0	84.983	44506
Boadway	0	84.983	44507
Bluma	0	84.984	44508
Bluett	0	84.984	44509
Bloor	0	84.984	44510
Blomker	0	84.984	44511
Blevens	0	84.984	44512
Blethen	0	84.985	44513
Bleecker	0	84.985	44514
Blayney	0	84.985	44515
Blaske	0	84.985	44516
Blasetti	0	84.985	44517
Blancas	0	84.985	44518
Blackner	0	84.986	44519
Blackie	0	84.986	44520
Bjorkquist	0	84.986	44521
Bjerk	0	84.986	44522
Bizub	0	84.986	44523
Bisono	0	84.987	44524
Bisges	0	84.987	44525
Bisaillon	0	84.987	44526
Birr	0	84.987	44527
Birnie	0	84.987	44528
Bires	0	84.988	44529
Birdtail	0	84.988	44530
Birdine	0	84.988	44531
Bina	0	84.988	44532
Billock	0	84.988	44533
Billinger	0	84.989	44534
Billig	0	84.989	44535
Billet	0	84.989	44536
Bigwood	0	84.989	44537
Bigalk	0	84.989	44538
Bielicki	0	84.989	44539
Biddick	0	84.99	44540
Biccum	0	84.99	44541
Biafore	0	84.99	44542
Bhagat	0	84.99	44543
Beza	0	84.99	44544
Beyah	0	84.991	44545
Bex	0	84.991	44546
Bevier	0	84.991	44547
Bevell	0	84.991	44548
Beute	0	84.991	44549
Betzer	0	84.992	44550
Betthauser	0	84.992	44551
Bethay	0	84.992	44552
Bethard	0	84.992	44553
Beshaw	0	84.992	44554
Bertholf	0	84.993	44555
Bertels	0	84.993	44556
Berridge	0	84.993	44557
Bernot	0	84.993	44558
Bernath	0	84.993	44559
Bernabei	0	84.993	44560
Berkson	0	84.994	44561
Berkovitz	0	84.994	44562
Berkich	0	84.994	44563
Bergsten	0	84.994	44564
Berget	0	84.994	44565
Berezny	0	84.995	44566
Berdin	0	84.995	44567
Beougher	0	84.995	44568
Benthin	0	84.995	44569
Benhaim	0	84.995	44570
Benenati	0	84.996	44571
Benejan	0	84.996	44572
Bemiss	0	84.996	44573
Beloate	0	84.996	44574
Bellucci	0	84.996	44575
Bells	0	84.997	44576
Bellotti	0	84.997	44577
Belling	0	84.997	44578
Bellido	0	84.997	44579
Bellaire	0	84.997	44580
Bellafiore	0	84.997	44581
Bekins	0	84.998	44582
Bekele	0	84.998	44583
Beish	0	84.998	44584
Behnken	0	84.998	44585
Beerly	0	84.998	44586
Beddo	0	84.999	44587
Becket	0	84.999	44588
Becke	0	84.999	44589
Bebeau	0	84.999	44590
Beauchaine	0	84.999	44591
Beaucage	0	85	44592
Beadling	0	85	44593
Beacher	0	85	44594
Bazar	0	85	44595
Baysmore	0	85	44596
Bayers	0	85.001	44597
Baun	0	85.001	44598
Baulch	0	85.001	44599
Baucher	0	85.001	44600
Batto	0	85.001	44601
Baton	0	85.001	44602
Bathe	0	85.002	44603
Basora	0	85.002	44604
Baruffi	0	85.002	44605
Bartimus	0	85.002	44606
Bartholemew	0	85.002	44607
Barrickman	0	85.003	44608
Barribeau	0	85.003	44609
Barreda	0	85.003	44610
Barrack	0	85.003	44611
Baroody	0	85.003	44612
Barness	0	85.004	44613
Barn	0	85.004	44614
Barmer	0	85.004	44615
Barillari	0	85.004	44616
Barias	0	85.004	44617
Barginear	0	85.005	44618
Barg	0	85.005	44619
Barde	0	85.005	44620
Barbone	0	85.005	44621
Barbato	0	85.005	44622
Barbarin	0	85.005	44623
Baoloy	0	85.006	44624
Bansal	0	85.006	44625
Bangle	0	85.006	44626
Banducci	0	85.006	44627
Bandel	0	85.006	44628
Bambeck	0	85.007	44629
Balter	0	85.007	44630
Ballif	0	85.007	44631
Baller	0	85.007	44632
Balladares	0	85.007	44633
Balkus	0	85.008	44634
Baldy	0	85.008	44635
Baldivia	0	85.008	44636
Balcerzak	0	85.008	44637
Balazs	0	85.008	44638
Baksh	0	85.009	44639
Bakr	0	85.009	44640
Bakemeier	0	85.009	44641
Baisey	0	85.009	44642
Bainer	0	85.009	44643
Bailly	0	85.01	44644
Bagge	0	85.01	44645
Badua	0	85.01	44646
Badini	0	85.01	44647
Bachtell	0	85.01	44648
Bachrodt	0	85.01	44649
Bachorski	0	85.011	44650
Bacak	0	85.011	44651
Babula	0	85.011	44652
Bable	0	85.011	44653
Babjeck	0	85.011	44654
Babecki	0	85.012	44655
Azbell	0	85.012	44656
Ayudan	0	85.012	44657
Awai	0	85.012	44658
Avita	0	85.012	44659
Avino	0	85.013	44660
Avellar	0	85.013	44661
Auzat	0	85.013	44662
Autman	0	85.013	44663
Autio	0	85.013	44664
Autery	0	85.014	44665
Ausman	0	85.014	44666
Ausland	0	85.014	44667
Aulabaugh	0	85.014	44668
Augle	0	85.014	44669
Aughenbaugh	0	85.014	44670
Augeri	0	85.015	44671
Audi	0	85.015	44672
Attleson	0	85.015	44673
Attig	0	85.015	44674
Attal	0	85.015	44675
Ator	0	85.016	44676
Asselmeier	0	85.016	44677
Askland	0	85.016	44678
Asiello	0	85.016	44679
Asch	0	85.016	44680
Arya	0	85.017	44681
Artola	0	85.017	44682
Arslanian	0	85.017	44683
Arron	0	85.017	44684
Arrezola	0	85.017	44685
Arnesen	0	85.018	44686
Arnau	0	85.018	44687
Armster	0	85.018	44688
Armintrout	0	85.018	44689
Armento	0	85.018	44690
Armato	0	85.018	44691
Arkenberg	0	85.019	44692
Ariaza	0	85.019	44693
Arguin	0	85.019	44694
Arenson	0	85.019	44695
Areias	0	85.019	44696
Archut	0	85.02	44697
Archibold	0	85.02	44698
Arave	0	85.02	44699
Arand	0	85.02	44700
Appelman	0	85.02	44701
Appello	0	85.021	44702
Antonson	0	85.021	44703
Antoniewicz	0	85.021	44704
Antill	0	85.021	44705
Antigua	0	85.021	44706
Annino	0	85.022	44707
Anness	0	85.022	44708
Anneler	0	85.022	44709
Angustia	0	85.022	44710
Angry	0	85.022	44711
Angiolillo	0	85.022	44712
Angelico	0	85.023	44713
Andreula	0	85.023	44714
Andreen	0	85.023	44715
Andreassi	0	85.023	44716
Andeson	0	85.023	44717
Ander	0	85.024	44718
Anda	0	85.024	44719
Anania	0	85.024	44720
Anadio	0	85.024	44721
Amicone	0	85.024	44722
Amenta	0	85.025	44723
Alzaga	0	85.025	44724
Alwardt	0	85.025	44725
Aluarado	0	85.025	44726
Altreche	0	85.025	44727
Altic	0	85.026	44728
Alsobrooks	0	85.026	44729
Alpern	0	85.026	44730
Almodova	0	85.026	44731
Almas	0	85.026	44732
Alltop	0	85.026	44733
Alliston	0	85.027	44734
Allio	0	85.027	44735
Alipio	0	85.027	44736
Alicandro	0	85.027	44737
Alibozek	0	85.027	44738
Alguire	0	85.028	44739
Alff	0	85.028	44740
Alcalde	0	85.028	44741
Alborn	0	85.028	44742
Albery	0	85.028	44743
Alberry	0	85.029	44744
Albany	0	85.029	44745
Albani	0	85.029	44746
Albanez	0	85.029	44747
Alavi	0	85.029	44748
Akkerman	0	85.03	44749
Ahlheim	0	85.03	44750
Agresti	0	85.03	44751
Agnelli	0	85.03	44752
Agilar	0	85.03	44753
Agib	0	85.03	44754
Aggas	0	85.031	44755
Afton	0	85.031	44756
Afonso	0	85.031	44757
Adil	0	85.031	44758
Adi	0	85.031	44759
Adank	0	85.032	44760
Adamsky	0	85.032	44761
Acri	0	85.032	44762
Accurso	0	85.032	44763
Abruzzese	0	85.032	44764
Abrew	0	85.033	44765
Abeln	0	85.033	44766
Abdullai	0	85.033	44767
Abdulkarim	0	85.033	44768
Abdelrahman	0	85.033	44769
Abbenante	0	85.034	44770
Abatiell	0	85.034	44771
Abaloz	0	85.034	44772
Zyskowski	0	85.034	44773
Zwiefel	0	85.034	44774
Zurmiller	0	85.034	44775
Zupancic	0	85.035	44776
Zuno	0	85.035	44777
Zumsteg	0	85.035	44778
Zumbrennen	0	85.035	44779
Zumaya	0	85.035	44780
Zullinger	0	85.035	44781
Zuleger	0	85.036	44782
Zozaya	0	85.036	44783
Zourkos	0	85.036	44784
Zorrilla	0	85.036	44785
Zorko	0	85.036	44786
Zolocsik	0	85.037	44787
Zittel	0	85.037	44788
Ziobro	0	85.037	44789
Zimmerly	0	85.037	44790
Zimmerli	0	85.037	44791
Zillmer	0	85.037	44792
Zigmond	0	85.038	44793
Zierer	0	85.038	44794
Zieber	0	85.038	44795
Zide	0	85.038	44796
Zevenbergen	0	85.038	44797
Zephier	0	85.038	44798
Zemel	0	85.039	44799
Zelazo	0	85.039	44800
Zeitlin	0	85.039	44801
Zeiser	0	85.039	44802
Zehring	0	85.039	44803
Zeger	0	85.04	44804
Zedian	0	85.04	44805
Zearfoss	0	85.04	44806
Zbranek	0	85.04	44807
Zaya	0	85.04	44808
Zatarain	0	85.04	44809
Zasso	0	85.041	44810
Zarn	0	85.041	44811
Zarilla	0	85.041	44812
Zari	0	85.041	44813
Zapp	0	85.041	44814
Zapf	0	85.041	44815
Zanghi	0	85.042	44816
Zange	0	85.042	44817
Zamacona	0	85.042	44818
Zalesky	0	85.042	44819
Zalazar	0	85.042	44820
Zaki	0	85.042	44821
Zafar	0	85.043	44822
Zade	0	85.043	44823
Yusko	0	85.043	44824
Yurman	0	85.043	44825
Yurkovich	0	85.043	44826
Yuhasz	0	85.044	44827
Younge	0	85.044	44828
Yiu	0	85.044	44829
Yeasted	0	85.044	44830
Yarrito	0	85.044	44831
Yark	0	85.044	44832
Yarboro	0	85.045	44833
Yannuzzi	0	85.045	44834
Yankovich	0	85.045	44835
Yanagawa	0	85.045	44836
Yago	0	85.045	44837
Yaffe	0	85.045	44838
Wyndham	0	85.046	44839
Wyms	0	85.046	44840
Wyand	0	85.046	44841
Wuensch	0	85.046	44842
Wryals	0	85.046	44843
Wrubel	0	85.047	44844
Worosz	0	85.047	44845
Woolstenhulme	0	85.047	44846
Wolpe	0	85.047	44847
Wolner	0	85.047	44848
Wolgamot	0	85.047	44849
Wolfman	0	85.048	44850
Wojtaszek	0	85.048	44851
Woeppel	0	85.048	44852
Woehr	0	85.048	44853
Wodarski	0	85.048	44854
Wizwer	0	85.048	44855
Wittkop	0	85.049	44856
Wisseman	0	85.049	44857
Wisor	0	85.049	44858
Wishum	0	85.049	44859
Wischmann	0	85.049	44860
Wisch	0	85.049	44861
Wirkkala	0	85.05	44862
Wion	0	85.05	44863
Wintjen	0	85.05	44864
Wintermute	0	85.05	44865
Wintermantel	0	85.05	44866
Winks	0	85.051	44867
Winkey	0	85.051	44868
Winham	0	85.051	44869
Windschitl	0	85.051	44870
Willow	0	85.051	44871
Willitzer	0	85.051	44872
Willier	0	85.052	44873
Willets	0	85.052	44874
Willenbrink	0	85.052	44875
Willen	0	85.052	44876
Willaimson	0	85.052	44877
Wilfahrt	0	85.052	44878
Wilenkin	0	85.053	44879
Wilen	0	85.053	44880
Wildeboer	0	85.053	44881
Wilchek	0	85.053	44882
Wigren	0	85.053	44883
Wignall	0	85.054	44884
Wiggington	0	85.054	44885
Wierson	0	85.054	44886
Wiegman	0	85.054	44887
Wiegel	0	85.054	44888
Widmayer	0	85.054	44889
Wider	0	85.055	44890
Widder	0	85.055	44891
Wickey	0	85.055	44892
Wickers	0	85.055	44893
Wical	0	85.055	44894
Whiton	0	85.055	44895
Whitenton	0	85.056	44896
Whiteleather	0	85.056	44897
Whiston	0	85.056	44898
Whirley	0	85.056	44899
Whetham	0	85.056	44900
Wheatly	0	85.056	44901
Wetenkamp	0	85.057	44902
Westenberger	0	85.057	44903
Westenbarger	0	85.057	44904
Westall	0	85.057	44905
Werblow	0	85.057	44906
Wengel	0	85.058	44907
Welson	0	85.058	44908
Welschmeyer	0	85.058	44909
Wellmann	0	85.058	44910
Wellbrock	0	85.058	44911
Wela	0	85.058	44912
Wekenborg	0	85.059	44913
Weiter	0	85.059	44914
Weisenstein	0	85.059	44915
Wehmann	0	85.059	44916
Weeda	0	85.059	44917
Wede	0	85.059	44918
Webley	0	85.06	44919
Waver	0	85.06	44920
Wauford	0	85.06	44921
Waterworth	0	85.06	44922
Watchorn	0	85.06	44923
Wassinger	0	85.061	44924
Wassell	0	85.061	44925
Wasp	0	85.061	44926
Wasiuta	0	85.061	44927
Warnix	0	85.061	44928
Warning	0	85.061	44929
Warnes	0	85.062	44930
Warmoth	0	85.062	44931
Warling	0	85.062	44932
Warila	0	85.062	44933
Warga	0	85.062	44934
Warburg	0	85.062	44935
Wanzer	0	85.063	44936
Want	0	85.063	44937
Waner	0	85.063	44938
Wanek	0	85.063	44939
Walwyn	0	85.063	44940
Walle	0	85.063	44941
Walkner	0	85.064	44942
Walin	0	85.064	44943
Waletzko	0	85.064	44944
Waler	0	85.064	44945
Walenta	0	85.064	44946
Wainer	0	85.065	44947
Wailes	0	85.065	44948
Wahr	0	85.065	44949
Waddel	0	85.065	44950
Wactor	0	85.065	44951
Wachtler	0	85.065	44952
Wachsman	0	85.066	44953
Wachowski	0	85.066	44954
Vulgamore	0	85.066	44955
Vukelich	0	85.066	44956
Vote	0	85.066	44957
Vost	0	85.066	44958
Voskamp	0	85.067	44959
Vorwerk	0	85.067	44960
Vongphakdy	0	85.067	44961
Volpi	0	85.067	44962
Volle	0	85.067	44963
Volino	0	85.067	44964
Voeks	0	85.068	44965
Vodopich	0	85.068	44966
Vittone	0	85.068	44967
Virdin	0	85.068	44968
Virag	0	85.068	44969
Vinroe	0	85.069	44970
Vinegar	0	85.069	44971
Vindiola	0	85.069	44972
Vilmont	0	85.069	44973
Villerreal	0	85.069	44974
Villaneva	0	85.069	44975
Villalobas	0	85.07	44976
Villada	0	85.07	44977
Vilhauer	0	85.07	44978
Vilchis	0	85.07	44979
Vilches	0	85.07	44980
Viggiani	0	85.07	44981
Vig	0	85.071	44982
Vieux	0	85.071	44983
Viets	0	85.071	44984
Vient	0	85.071	44985
Vielle	0	85.071	44986
Viejo	0	85.072	44987
Vidovich	0	85.072	44988
Vichi	0	85.072	44989
Veys	0	85.072	44990
Veverka	0	85.072	44991
Verser	0	85.072	44992
Veronesi	0	85.073	44993
Vernoy	0	85.073	44994
Vermont	0	85.073	44995
Verhines	0	85.073	44996
Verheyen	0	85.073	44997
Veren	0	85.073	44998
Vereb	0	85.074	44999
Verano	0	85.074	45000
Venuto	0	85.074	45001
Ventry	0	85.074	45002
Ventrone	0	85.074	45003
Veltz	0	85.074	45004
Velo	0	85.075	45005
Velazguez	0	85.075	45006
Veeser	0	85.075	45007
Vassey	0	85.075	45008
Vasque	0	85.075	45009
Varin	0	85.076	45010
Varaza	0	85.076	45011
Varady	0	85.076	45012
Vaquez	0	85.076	45013
Vaquerano	0	85.076	45014
Vansteenwyk	0	85.076	45015
Vanschoick	0	85.077	45016
